C,Paso,Key,Issue Type,Status,Priority,Summary,Description,Reporter,Assignee,Fecha del d¡a,Fecha de creaci¢n (Created),Fecha de inicio,D¡as Transcurridos al d¡a,Fecha prometida  vs NS,Fecha prometida   (Due Date),D¡as retraso vs Fecha prometida NS,D¡as retraso vs Fecha prometida (Due Date),D¡as en Diagn¢stico,Fecha de cierre (Resolved),Cumpli¢ NS,Cumpli¢ FP,D¡as efectivos,Labels,Nivel de servicio,Fecha reincidencia 1,Fecha reincidencia 2,Fecha reincidencia 3,Fecha reincidencia 4,Sow3,Fecha autorizaci¢n,D¡as en Autorizaci¢n
1,Q4,BXMPRJ-1267,Question,Delivered,High,Se observa una operaci¢n del fondo TEMGBIA BF1 que desaparecio,"El d¡a 4 de febrero, se consult¢ el reporte ""Reporte de operaciones por liquidaci¢n y ¢rdenes de clientes (FORDP101)"" este reporte refleja las operaciones de fondos que liquidan en la fecha en que el usuario consulta. Se observa lo siguiente: 
c. Se gener¢ el reporte al d¡a de pruebas 29 de julio de 2014 y se identific¢ una operaci¢n de venta del fondo TEMGBIA BF1 con folio 899524 con fecha de captura y liquidaci¢n 29 de julio, no obstante el fondo liquida 72 horas. Se report¢ a TAS el 6 de febrero. 

d. El d¡a 9 de febrero TAS responde que la orden no existe. Se consult¢ el mismo reporte y se observa que la venta con folio 899524 ya no se refleja. 
Se solicita saber a qu‚ se debe que el folio 899524 dej¢ de aparecer en el reporte. 
",Cesar Guzm n,German Gomez,16/02/2015,09/02/2015,16/02/2015, 0 ,17/02/2015,,0,Sin Fecha,7,,No Cumpli¢,Sin Fecha,7,CICLO4,1,,,,,,,
1,Q4,BXMPRJ-1265,Question,Delivered,High,Inconsistencia al operar con la emisora NAFTRAC y se asigna AC *,"En el reporte de asignaci¢n de Capitales (CORDR131)se observa la siguiente asignaci¢n de NAFTRAC: 
d. Hecho de venta con folio 69001 por 138,500 acciones. 
e. Hecho de Compras con folio 69001 por 94,000 acciones. 
En el reporte de hechos (CORDR111) se observa que los hechos de compra que en el reporte anterior aparec¡a como de la emisora NAFTRAC aparece como AC * 
Se consult¢ la asignaci¢n en los movimientos de cada uno de los clientes que participaron de los hechos y tambi‚n aparecen asignadas AC * en lugar de NAFTRAC. 
En el reporte Posici¢n x emisora / Cliente (CPECW100) no aparecen los movimientos de AC * ni de NAFTRAC. 
Se solicita saber a qu‚ se deben las inconsistencias 
",Cesar Guzm n,Cesar Guzm n,16/02/2015,09/02/2015,09/02/2015, 7 ,10/02/2015,,5,Sin Fecha,7,,No Cumpli¢,Sin Fecha,7,CICLO4,1,,,,,,,
1,Q2,BXMPRJ-1260,Question,In Progress,High,"Operaciones faltantes en CVT, Reportos y Transferencia","Iv n, 

De la revisi¢n llevada a cabo para las operaciones de CVT y Reportos del d¡a 29/07/2014, as¡ como Transferencias del 30/07/2014 encontr‚ algunas operaciones que se generaron en el reporte diario de operaciones pero no as¡ en sus respectivos reportes regulatorios. Anexo papeles de trabajo en los cuales se encuentran integrados el reporte diario de operaciones as¡ como el regulatorio correspondiente, favor de apoyarme con la aclaraci¢n o la inclusion de las operaciones en cuestion. 
Reportos TR CVT Reportos 
30/07/2014 30/07/2014 29/07/2014 29/07/2014 
104173 104234 104039 103773 
104169 104231 104038 
104173 104207 103952 
104169 104044 
104125 
104174 


Gracias",Erick V zquez,Jacqueline Barradas,16/02/2015,09/02/2015,09/02/2015, 7 ,10/02/2015,,6,Sin Fecha,7,,No Cumpli¢,Sin Fecha,7,,1,,,,,,,
1,Q1,BXMPRJ-1259,Question,Open,High,Rep. Detalle Posici¢n en Custodia X Emisora V.2 (DTRAW230),"1. En la revisi¢n del reporte de custodias de TAS (DTRAW130) se observa que el contrato ""99000116 Garant¡as Recibidas"" las garant¡as est n duplicadas, y al sumar las posiciones en total se triplican debido a que tambi‚n se muestra las garant¡as en cada cliente. Ejemplo de POCHTEC: 

a. En el reporte de garant¡as DGARR106, en el contrato 99000116 , la suma de las garant¡as de POCHTEC ES DE 3,482,564 t¡tulos. 
b. En el reporte de custodias DTRAW130 la suma de las garant¡as de POCHTEC es de 6,965,128 t¡tulos, el doble de garant¡as. 
c. Adicionalmente a los clientes les aparece las garant¡as en su contrato, por lo que al sumar el total de las garant¡as la cantidad se triplica. 

2. Se observa que hay emisoras que no tienen asociada la mesa 9020 y aparecen ceros 


Se adjunta detalle 

Este JIRA es en seguimiento al JIRA 769 

Esta observaci¢n se trata de una Reincidencia 3 
",Cesar Guzm n,Gerardo Gomez,16/02/2015,09/02/2015,09/02/2015, 7 ,10/02/2015,,6,Sin Fecha,7,,No Cumpli¢,Sin Fecha,7,CICLO4,1,,,,,,,
1,Q1,BXMPRJ-1254,Question,Open,Medium,Dividendo en Efectivo_Movimiento Fiable,"Se aplico dividendo en efectivo para GPH y ALFA. A pesa de que Fiable refleja la salida - entrada de t¡tulos para actualizar el precio, no se mostr¢ el movimiento de efectivo",Agustin Gutierrez,Agustin Gutierrez,16/02/2015,09/02/2015,09/02/2015, 7 ,10/02/2015,,6,Sin Fecha,7,,No Cumpli¢,Sin Fecha,7,ciclo4,1,,,,,,,
1,Q1,BXMPRJ-1253,Question,Open,Medium,Clientes con custodia externa_Liquidaci¢n,"Los clientes con custodia externa No debe de liquidar contra el saldo, es decir, NO se requiere de la posici¢n, ni del efectivo. Este tema fue tratado en una reuni¢n con Jos‚ Sotelo - Gerardo Gomez.",Agustin Gutierrez,Gerardo Gomez,16/02/2015,09/02/2015,16/02/2015, 0 ,17/02/2015,,0,Sin Fecha,7,,No Cumpli¢,Sin Fecha,7,ciclo4,1,,,,,,,
,Q1,BXMPRJ-1253,Question,Open,Medium,Clientes con custodia externa_Liquidaci¢n,"Los clientes con custodia externa No debe de liquidar contra el saldo, es decir, NO se requiere de la posici¢n, ni del efectivo. Este tema fue tratado en una reuni¢n con Jos‚ Sotelo - Gerardo Gomez.",Agustin Gutierrez,Antonio Laija Olmedo,16/02/2015,09/02/2015,09/02/2015, 7 ,10/02/2015,,6,Sin Fecha,7,16/02/2015,No Cumpli¢,Sin Fecha,7,ciclo4,1,,,,,,,
1,Q1,BXMPRJ-1252,Question,Open,Medium,Asignacion de Valores_Posicion Fecha valor,"El 28/07/2014 se capturo-asigno una CR con BANCO VE POR MAS S.A de BPAG28 IM150903 por 1,000,000 de t¡tulos con fecha de liquidaci¢n 01/08/2014 y vencimiento 05/08/2014 (folio 103014). A pesar de que en la posici¢n FV se muestran dichos valores, el sistema no permito la asignaci¢n. 
",Agustin Gutierrez,Agustin Gutierrez,16/02/2015,09/02/2015,16/02/2015,-0 ,17/02/2015,,-1,Sin Fecha,7,,No Cumpli¢,Sin Fecha,7,CICLO4,1,,,,,,,
,Q1,BXMPRJ-1252,Question,Open,Medium,Asignacion de Valores_Posicion Fecha valor,"El 28/07/2014 se capturo-asigno una CR con BANCO VE POR MAS S.A de BPAG28 IM150903 por 1,000,000 de t¡tulos con fecha de liquidaci¢n 01/08/2014 y vencimiento 05/08/2014 (folio 103014). A pesar de que en la posici¢n FV se muestran dichos valores, el sistema no permito la asignaci¢n. 
",Agustin Gutierrez,Gerardo Gomez,16/02/2015,09/02/2015,09/02/2015, 7 ,10/02/2015,,6,Sin Fecha,7,16/02/2015,No Cumpli¢,Sin Fecha,7,CICLO4,1,,,,,,,
c,Q1,BXMPRJ-1251,Question,Closed,High,Bloqueo en la tabla de ffolio en la apertura de d¡a,"Al momento de la apertura de d¡a de mando mensajes de bloqueo. 

",Antonio Laija Olmedo,Jacqueline Barradas,16/02/2015,07/02/2015,07/02/2015, 10 ,08/02/2015,,8,Sin Fecha,10,16/02/2015,No Cumpli¢,Sin Fecha,9,,1,,,,,,,
,Q1,BXMPRJ-1239,Question,Open,High,ERROR EN LOS PRECIOS COSTO DE LA CANASTA INICIAL,"Los precios costo de la canasta inicial se encuentran mal calculados, no coinciden con los calculados de acuerdo a las ""tasas y/o sobretasas costo"" y los niveles de los indicadores vigentes al arranque del 30 de julio, los £nicos que no tienen problema son los ""LD"" y unos ""M"" que liquidaron el 30.",Martin Cruz,Martin Cruz,16/02/2015,05/02/2015,05/02/2015, 11 ,06/02/2015,,9,Sin Fecha,11,16/02/2015,No Cumpli¢,Sin Fecha,11,"CICLO4, D3",1,,,,,,,
,Q1,BXMPRJ-1234,Bug,In Progress,Medium,No se excede tasa,solicitud de autorizacion cuando no excede parametros,Azucena Gudi¤o,Gerardo Gomez,16/02/2015,05/02/2015,05/02/2015, 11 ,06/02/2015,,2,Sin Fecha,11,09/02/2015,No Cumpli¢,Sin Fecha,4,CICLO4,1,,,,,,,
,Q1,BXMPRJ-1233,Question,Open,Medium,clientes institucionales,Tas no reconoce los clientes que estan marcados como institucionales en fiable,Gaby Ledesma,Antonio Laija Olmedo,16/02/2015,05/02/2015,05/02/2015, 11 ,06/02/2015,,2,Sin Fecha,11,09/02/2015,No Cumpli¢,Sin Fecha,4,,1,,,,,,,
1,Q1,BXMPRJ-1233,Question,Open,Medium,clientes institucionales,Tas no reconoce los clientes que estan marcados como institucionales en fiable,Gaby Ledesma,Antonio Laija Olmedo,16/02/2015,05/02/2015,09/02/2015, 7 ,10/02/2015,,6,Sin Fecha,11,,No Cumpli¢,Sin Fecha,11,,1,,,,,,,
,Q1,BXMPRJ-1232,Question,Open,High,NO PERMITE COMPRA DE UNA OBLIGACION EN UN CLIENTE CON PERFIL DE CRECIMIENTO,"EL CLIENTE 503112 TIENE UN PERFIL DE CRECIMIENTO, CON SERVICIO DE ASESORIA. NO ME DEJA CAPTURAR UNA OBLIGACION (BCOBX+ 10) EN FIABLE, ME APARECE UN MENSAJE QUE ESTA ROMPIENDO EL PERFIL, SIN EMBARGO SI ME DEBIO DEJAR CAPTURARLO.",Ximena Roldan,Cesar Guzm n,16/02/2015,05/02/2015,05/02/2015, 11 ,06/02/2015,,2,Sin Fecha,11,09/02/2015,No Cumpli¢,Sin Fecha,4,CICLO4,1,,,,,,,
1,Q1,BXMPRJ-1232,Question,Open,High,NO PERMITE COMPRA DE UNA OBLIGACION EN UN CLIENTE CON PERFIL DE CRECIMIENTO,"EL CLIENTE 503112 TIENE UN PERFIL DE CRECIMIENTO, CON SERVICIO DE ASESORIA. NO ME DEJA CAPTURAR UNA OBLIGACION (BCOBX+ 10) EN FIABLE, ME APARECE UN MENSAJE QUE ESTA ROMPIENDO EL PERFIL, SIN EMBARGO SI ME DEBIO DEJAR CAPTURARLO.",Ximena Roldan,Ivan Torres,16/02/2015,05/02/2015,09/02/2015, 7 ,10/02/2015,,6,Sin Fecha,11,,No Cumpli¢,Sin Fecha,11,CICLO4,1,,,,,,,
,Q1,BXMPRJ-1231,Question,Open,High,ERRORES EN CAPTURA POR ANEXO 5,"El cliente 280818, el cual tiene un perfil conservador y servicio comercializacion. No me esta dejando capturar un fondo de CP cuando es de corto plazo. Y en una orden de mercado de dinero permitio capturar una orden cuyo plazo de vencimiento del instrumento es mayor a 1 a¤o y por perfil de inversion no deberia de permitirlo. se reviso la regla del anexo 5 (110), la cual se¤ala que son instrumentos menores a 1 a¤o.",Ximena Roldan,Gerardo Gomez,16/02/2015,05/02/2015,05/02/2015, 11 ,06/02/2015,,0,Sin Fecha,11,06/02/2015,Cumpli¢,Sin Fecha,1,ciclo4,1,,,,,,,
1,Q1,BXMPRJ-1223,Question,Open,High,Nuevo Formulario Derivados (Contrapartes),"Iv n 

Derivado de modificaciones por parte de BANXICO a los formularios de derivados ( contrapartes en este caso ) se requiere que realicen las gestiones pertinentes a fin de emitir el reporte de contrapartes de acuerdo a la estructura, definiciones y cat logo anexos. 
",Erick V zquez,Ivan Torres,16/02/2015,04/02/2015,04/02/2015, 12 ,05/02/2015,,11,Sin Fecha,12,,No Cumpli¢,Sin Fecha,12,,1,,,,,,,
1,Q1,BXMPRJ-1222,Question,Open,High,Nuevo Formulario Derivados ( Garant¡as),"Iv n 

Derivado de modificaciones por parte de BANXICO a los formularios de derivados ( garant¡as en este caso ) se requiere que realicen las gestiones pertinentes a fin de emitir el reporte que de garant¡as de acuerdo a la estructura, definiciones y cat logo anexos.",Erick V zquez,Ivan Torres,16/02/2015,04/02/2015,04/02/2015, 12 ,05/02/2015,,11,Sin Fecha,12,,No Cumpli¢,Sin Fecha,12,,1,,,,,,,
1,Q1,BXMPRJ-1221,Question,Open,High,Redise¤o Formulario Derivados ( OFF),"Iv n 

Derivado de modificaciones por parte de BANXICO a los formularios de derivados ( futuros en este caso ) se requiere que se realicen los ajustes de acuerdo a la estructura, definiciones y cat logo que se mencionan en los archivos adjuntos.",Erick V zquez,Ivan Torres,16/02/2015,04/02/2015,04/02/2015, 12 ,05/02/2015,,11,Sin Fecha,12,,No Cumpli¢,Sin Fecha,12,,1,,,,,,,
1,Q6,BXMPRJ-1214,Question,Client Response Provided,High,Estado de cuenta,toda la informcion que presenta el estado de cuenta esta en ceros,Azucena Gudi¤o,Gerardo Gomez,16/02/2015,03/02/2015,03/02/2015, 13 ,04/02/2015,,11,Sin Fecha,13,,No Cumpli¢,Sin Fecha,13,"PruebasD4, ciclo4",1,,,,,,,
1,Q1,BXMPRJ-1211,Question,Open,Medium,Hechos de NAFTRAC que no pasaron a TAS,"
En la revici¢n del d¡a 2 (29 de julio) se observa que 4 hechos en 4 clientes diferentes se asignaron en Fiable, sin embargo no pasaron a TAS 

Se anexa evidencia",Cesar Guzm n,Cesar Guzm n,16/02/2015,03/02/2015,03/02/2015, 14 ,04/02/2015,,0,Sin Fecha,13,04/02/2015,Cumpli¢,Sin Fecha,0,CICLO4,1,,,,,,,
,Q1,BXMPRJ-1211,Question,Open,Medium,Hechos de NAFTRAC que no pasaron a TAS,"
En la revici¢n del d¡a 2 (29 de julio) se observa que 4 hechos en 4 clientes diferentes se asignaron en Fiable, sin embargo no pasaron a TAS 

Se anexa evidencia",Cesar Guzm n,Sergio Rangel,16/02/2015,03/02/2015,04/02/2015, 13 ,05/02/2015,,11,Sin Fecha,13,,No Cumpli¢,Sin Fecha,13,CICLO4,1,,,,,,,
1,Q6,BXMPRJ-1210,Question,Client Response Provided,Medium,"El precio reportado para OHLMEX no es el correcto, deber¡a calcularse bajo la metodolog¡a PPP","El precio presentado por TAS para la posici¢n de OHLMEX al inicio del d¡a 30/07/2015 no es el correcto. Este £ltimo deber¡a estar calculado bajo la metodolog¡a PPP (Precio Promedio Ponderado) y debe modificarse dependiendo de la operaci¢n pertinente, es decir si se realizan compras/ventas m£ltiples sin liquidar la totalidad de la posici¢n. 

Adjunto xls con el ejemplo de como deber¡a calcularse y la pantalla de lo que present a TAS",Jose Daniel Garces Quiroz,Antonio Laija Olmedo,16/02/2015,03/02/2015,03/02/2015, 13 ,04/02/2015,,12,Sin Fecha,13,,No Cumpli¢,Sin Fecha,13,,1,,,,,,,
c,Q1,BXMPRJ-1209,Question,Closed,High,Se asign¢ un hecho en TAS sin la existencia de una orden,"
La orden 59946 del cliente 534593 por 1,675 t¡tulos de la emisora TLEVISA CPO se le asign¢ un hecho en Fiable que cubri¢ toda la orden. En TAS se asign¢ el hecho al clliente sin existir una orden de por medio, ya que esta orden fue capturada el d¡a 23/07/2014 para vencer el 30/07/2014, no obstante TAS venci¢ todas las ¢rdenes el d¡a 29 por lo tanto para TAS ya no exist¡a la orden.",Cesar Guzm n,Sergio Rangel,16/02/2015,03/02/2015,03/02/2015, 14 ,04/02/2015,,12,Sin Fecha,13,16/02/2015,No Cumpli¢,Sin Fecha,13,CICLO4,1,,,,,,,
,Q1,BXMPRJ-1208,Question,Open,High,Ordenes de Capitales con vigencia se borraron,"
Se observa que 291 ¢rdenes de Capitales con vigencia mayor a un d¡a no pasaron al d¡a 28 de julio al d¡a 29 de julio. 

Favor de verificar",Cesar Guzm n,Sergio Rangel,16/02/2015,03/02/2015,03/02/2015, 14 ,04/02/2015,,0,Sin Fecha,13,04/02/2015,Cumpli¢,Sin Fecha,1,CICLO4,1,,,,,,,
,Q1,BXMPRJ-1208,Question,Open,High,Ordenes de Capitales con vigencia se borraron,"
Se observa que 291 ¢rdenes de Capitales con vigencia mayor a un d¡a no pasaron al d¡a 28 de julio al d¡a 29 de julio. 

Favor de verificar",Cesar Guzm n,Edgar Richter,16/02/2015,03/02/2015,04/02/2015, 12 ,05/02/2015,,0,Sin Fecha,13,06/02/2015,Cumpli¢,Sin Fecha,3,CICLO4,1,,,,,,,
,Q1,BXMPRJ-1208,Question,In Progress,High,Ordenes de Capitales con vigencia se borraron,"
Se observa que 291 ¢rdenes de Capitales con vigencia mayor a un d¡a no pasaron al d¡a 28 de julio al d¡a 29 de julio. 

Favor de verificar",Cesar Guzm n,Sergio Rangel,16/02/2015,03/02/2015,04/02/2015, 12 ,05/02/2015,05/02/2015,4,4,13,09/02/2015,No Cumpli¢,No Cumpli¢,6,CICLO4,1,,,,,,,
1,Q1,BXMPRJ-1208,Question,In Progress,High,Ordenes de Capitales con vigencia se borraron,"
Se observa que 291 ¢rdenes de Capitales con vigencia mayor a un d¡a no pasaron al d¡a 28 de julio al d¡a 29 de julio. 

Favor de verificar",Cesar Guzm n,Sergio Rangel,16/02/2015,03/02/2015,09/02/2015, 7 ,10/02/2015,05/02/2015,6,11,13,,No Cumpli¢,No Cumpli¢,13,CICLO4,1,,,,,,,
,Q1,BXMPRJ-1207,Question,Open,Medium,Reporte Detallada llamadas de Margen DGARW007,"

El d¡a 30 de enero de 2015 en una reuni¢n con Juan Carlos Jaques, Elisa Paz, Margarita Arellano y Gerardo G¢mez, se determin¢ que Fiable llevar  la administraci¢n de las garant¡as por cauci¢n.Por lo anterior se solicita que las garant¡as por causi¢n ya no se presenten en este reporte. 

Adicional para este reporte se solicita la siguiente informaci¢n: 

1. La columna Aforo viene vac¡a, Mesa de controles necesita conocer el aforo para asegurar el c lculo, el dato se obtiene en el archivo de Indeval. 

2. El reporte se requiere complementar con los campos: 
a. Tipo Valor. 
b. Calificaci¢n/Bursatilidad. 
c. Monto a Garantizar. 

Favor de atender el requerimiento 
",Cesar Guzm n,Ivan Torres,16/02/2015,03/02/2015,03/02/2015, 14 ,04/02/2015,,2,Sin Fecha,13,06/02/2015,No Cumpli¢,Sin Fecha,3,CICLO4,1,,,,,,,
,Q1,BXMPRJ-1205,Question,Open,High,LISTADO DE ERRORES X INTERFAZ MERCADO CAPITALES,"Se solicita por medio de este Jira, un Listado de todos los posibles errores que generen cada una de las interfaces que se tienen con Mercado de Capitales. 
Esto se requiere a la brevedad posible ya que es el insumo para el control y manejo de errores del ticket 552. 

",Mary Carmen Bonilla Lim¢n,Jacqueline Barradas,16/02/2015,03/02/2015,03/02/2015, 14 ,04/02/2015,,0,Sin Fecha,13,04/02/2015,Cumpli¢,Sin Fecha,1,,1,,,,,,,
,Q1,BXMPRJ-1205,Question,Open,High,LISTADO DE ERRORES X INTERFAZ MERCADO CAPITALES,"Se solicita por medio de este Jira, un Listado de todos los posibles errores que generen cada una de las interfaces que se tienen con Mercado de Capitales. 
Esto se requiere a la brevedad posible ya que es el insumo para el control y manejo de errores del ticket 552. 

",Mary Carmen Bonilla Lim¢n,Edgar Richter,16/02/2015,03/02/2015,06/02/2015, 10 ,07/02/2015,,5,Sin Fecha,13,13/02/2015,No Cumpli¢,Sin Fecha,10,,1,,,,,,,
1,Q1,BXMPRJ-1205,Question,Open,High,LISTADO DE ERRORES X INTERFAZ MERCADO CAPITALES,"Se solicita por medio de este Jira, un Listado de todos los posibles errores que generen cada una de las interfaces que se tienen con Mercado de Capitales. 
Esto se requiere a la brevedad posible ya que es el insumo para el control y manejo de errores del ticket 552. 

",Mary Carmen Bonilla Lim¢n,Jacqueline Barradas,16/02/2015,03/02/2015,13/02/2015, 3 ,14/02/2015,17/02/2015,2,0,13,,No Cumpli¢,No Cumpli¢,13,,1,,,,,,,
,Q1,BXMPRJ-1203,Question,Open,Medium,HORARIO Y USUARIO,"Petici¢n 
Se solicita que en el reporte de impresi¢n y envi¢ de liquidaciones (JLIQL005) muestre el horario de captura y el usuario que captura la operaci¢n. 

se adjunta archivo y pantalla impresi¢n 
",Isela Mart¡nez,Ivan Torres,16/02/2015,31/01/2015,03/02/2015, 14 ,04/02/2015,,-1,Sin Fecha,16,03/02/2015,Cumpli¢,Sin Fecha,3,CICLO4,1,,,,,,,
,Q1,BXMPRJ-1202,Question,Open,Medium,ESPECIFICACION DE DATOS PARA LA INTERFACE QUE RECIBE TAS DE FIABLE PARA REGISTRAR GARANTIAS DE CAUCION,"Gerardo 
de acuerdo a la reuni¢n que se llevo a cabo con Elisa Paz y Juan Carlos Jaques, se levanta Jira para que especifiques que datos necesita TAS que le envie Fiable para que se registren en TAS las garantias por cauci¢n 
",Margarita Arellano,Gerardo Gomez,16/02/2015,30/01/2015,03/02/2015, 14 ,04/02/2015,,2,Sin Fecha,17,06/02/2015,No Cumpli¢,Sin Fecha,7,CICLO4,1,,,,,,,
1,Q1,BXMPRJ-1200,Question,Open,High,Diferencias contables vs operativas (reporteria),"En el reporte Imp.de todos los reportes Of. (COFIW100) - Asignaci¢n. Se tienen diferencias en las compras en la columna de monto. 

En la p¢liza 3 (Compra de capitales por cuenta propia ), se tienen registros de garantias las cuales se deben de presentar en la p¢liza 19. 
En la p¢liza 71 (faltan registros contables)",Jocelyn Vazquez,Ivan Torres,16/02/2015,30/01/2015,09/02/2015, 7 ,10/02/2015,,-10,Sin Fecha,17,30/01/2015,Cumpli¢,Sin Fecha,0,CICLO4,1,,,,,,,
,Q1,BXMPRJ-1200,Question,Open,High,Diferencias contables vs operativas (reporteria),"En el reporte Imp.de todos los reportes Of. (COFIW100) - Asignaci¢n. Se tienen diferencias en las compras en la columna de monto. 

En la p¢liza 3 (Compra de capitales por cuenta propia ), se tienen registros de garantias las cuales se deben de presentar en la p¢liza 19. 
En la p¢liza 71 (faltan registros contables)",Jocelyn Vazquez,Ivan Torres,16/02/2015,30/01/2015,30/01/2015, 17 ,31/01/2015,,8,Sin Fecha,17,09/02/2015,No Cumpli¢,Sin Fecha,10,CICLO4,1,,,,,,,
